ColorNo;L;a;b;x;y
1;69,49;17,66;62,67;1;1
2;58,39;42,18;46,52;1;2
3;32,72;17,65;5,06;1;3
4;31,58;5,31;5,99;1;4
5;71,76;12,78;62,16;2;1
6;60,43;38,41;47,82;2;2
7;37,16;19,7;7,73;2;3
8;35,02;7,1;9,82;2;4
9;73,61;9,99;59,93;3;1
10;63,46;32,64;48,6;3;2
11;45,45;20,66;11,38;3;3
12;42,75;6,13;12,99;3;4
13;76,77;5,35;55,81;4;1
14;67,09;25,32;48,65;4;2
15;58,81;18,63;19,71;4;3
16;52,04;5,4;17,38;4;4
17;78,79;0,38;51,61;5;1
18;70,15;17,65;46,61;5;2
19;63,11;16,6;22,07;5;3
20;60,59;4,74;20,94;5;4
21;81,26;-2,82;45,38;6;1
22;72,7;8,18;45,07;6;2
23;75,09;11,51;30,75;6;3
24;84,49;0,12;25,47;6;4
